51,97068,50 Comércio e reparação de veículos automotores e motocicletas; e comércio a varejo de combustíveis,,2,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
52,97074,51 Comércio por atacado e representantes comerciais e agentes do comércio,,2,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
53,97083,52 Comércio varejista e reparação de objetos pessoais e domésticos,,2,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
54,97091,H Alojamento e alimentação,,1,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
55,97093,55 Alojamento e alimentação,,2,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
56,97096,"I Transporte, armazenagem e comunicações",,1,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
57,97098,60 Transporte terrestre,,2,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
58,97105,61 Transporte aquaviário,,2,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
59,97109,62 Transporte aéreo,,2,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
60,97117,63 Atividades anexas e auxiliares dos transportes e agências de viagem,,2,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
61,97122,64 Correio e telecomunicações,,2,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
62,97125,"J Intermediação financeira, seguros, previdência complementar e serviços relacionados",,1,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
63,97126,65 Intermediação financeira,,2,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
64,97133,66 Seguros e previdência complementar,,2,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
65,97137,"67 Atividades auxiliares da intermediação financeira, seguros e previdência complementar",,2,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
66,97140,"K Atividades imobiliárias, aluguéis e serviços prestados às empresas",,1,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
67,97141,70 Atividades imobiliárias,,2,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
68,97146,"71 Aluguel de veículos, máquinas e equipamentos sem condutores ou operadores e de objetos pessoais e domésticos",,2,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
69,97151,72 Atividades de informática e serviços relacionados,,2,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
70,97157,73 Pesquisa e desenvolvimento,,2,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
71,97160,74 Serviços prestados principalmente às empresas,,2,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
72,97169,"L Administração pública, defesa e seguridade social",,1,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
73,97170,"75 Administração pública, defesa e seguridade social",,2,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
