;var_id;var_nome;var_unidade;var_sumarizacao;tabela_id;tabela_classificacoes.id;categ_id
0;9808.0;PIB - valores correntes;Milhões de Reais;[];6784;;
1;9809.0;PIB - preços do ano anterior;Milhões de Reais;[];6784;;
2;9810.0;PIB - variação em volume;%;[];6784;;
3;9811.0;PIB - deflator - variação anual;%;[];6784;;
4;93.0;População residente;Mil pessoas;[];6784;;
5;9812.0;PIB per capita - valores correntes;Reais;[];6784;;
6;9813.0;PIB per capita - preços do ano anterior;Reais;[];6784;;
7;9814.0;PIB per capita - variação em volume;%;[];6784;;
1621;584;11255;90687
1621;584;11255;90691
1621;584;11255;90692
1621;584;11255;90693
1621;584;11255;90695
1621;584;11255;90694
1621;584;11255;90696
1621;584;11255;90697
1621;584;11255;90698
1621;584;11255;90699
1621;584;11255;90700
1621;584;11255;90702
1621;584;11255;90701
1621;584;11255;90703
1621;584;11255;90705
1621;584;11255;90707
1621;584;11255;93404
1621;584;11255;93405
1621;584;11255;93406
1621;584;11255;93407
1621;584;11255;93408
2093;93;86;0
2093;1000093;86;0
2093;93;86;2776
2093;1000093;86;2776
2093;93;86;2777
2093;1000093;86;2777
2093;93;86;2778
2093;1000093;86;2778
2093;93;86;2779
2093;1000093;86;2779
2093;93;86;2780
2093;1000093;86;2780
2093;93;86;2781
2093;1000093;86;2781
2093;93;2;0
2093;1000093;2;0
2093;93;2;4
2093;1000093;2;4
2093;93;2;5
2093;1000093;2;5
2093;93;1;0
2093;1000093;1;0
2093;93;1;1
2093;1000093;1;1
2093;93;1;2
2093;1000093;1;2
2093;93;58;0
2093;1000093;58;0
2093;93;58;100402
2093;1000093;58;100402
2093;93;58;1140
2093;1000093;58;1140
2093;93;58;1141
2093;1000093;58;1141
2093;93;58;1142
2093;1000093;58;1142
2093;93;58;6797
2093;1000093;58;6797
2093;93;58;1143
2093;1000093;58;1143
2093;93;58;2792
2093;1000093;58;2792
2093;93;58;92982
2093;1000093;58;92982
2093;93;58;1144
2093;1000093;58;1144
2093;93;58;1145
2093;1000093;58;1145
2093;93;58;3299
2093;1000093;58;3299
2093;93;58;3300
2093;1000093;58;3300
2093;93;58;3301
2093;1000093;58;3301
2093;93;58;3520
2093;1000093;58;3520
2093;93;58;6798
2093;1000093;58;6798
2093;93;58;3244
2093;1000093;58;3244
2093;93;58;95252
2093;1000093;58;95252
2093;93;58;2503
2093;1000093;58;2503
6784;9808.0;;
6784;9809.0;;
6784;9810.0;;
6784;9811.0;;
6784;93.0;;
6784;9812.0;;
6784;9813.0;;
6784;9814.0;;
1621;584;11255;90687
1621;584;11255;90691
1621;584;11255;90692
1621;584;11255;90693
1621;584;11255;90695
1621;584;11255;90694
1621;584;11255;90696
1621;584;11255;90697
1621;584;11255;90698
1621;584;11255;90699
1621;584;11255;90700
1621;584;11255;90702
1621;584;11255;90701
1621;584;11255;90703
1621;584;11255;90705
1621;584;11255;90707
1621;584;11255;93404
1621;584;11255;93405
1621;584;11255;93406
1621;584;11255;93407
1621;584;11255;93408
2093;93;86;0
2093;1000093;86;0
2093;93;86;2776
2093;1000093;86;2776
2093;93;86;2777
2093;1000093;86;2777
2093;93;86;2778
2093;1000093;86;2778
2093;93;86;2779
2093;1000093;86;2779
2093;93;86;2780
2093;1000093;86;2780
2093;93;86;2781
2093;1000093;86;2781
2093;93;2;0
2093;1000093;2;0
2093;93;2;4
2093;1000093;2;4
2093;93;2;5
2093;1000093;2;5
2093;93;1;0
2093;1000093;1;0
2093;93;1;1
2093;1000093;1;1
2093;93;1;2
2093;1000093;1;2
2093;93;58;0
2093;1000093;58;0
2093;93;58;100402
2093;1000093;58;100402
2093;93;58;1140
2093;1000093;58;1140
2093;93;58;1141
2093;1000093;58;1141
2093;93;58;1142
2093;1000093;58;1142
2093;93;58;6797
2093;1000093;58;6797
2093;93;58;1143
2093;1000093;58;1143
2093;93;58;2792
2093;1000093;58;2792
2093;93;58;92982
2093;1000093;58;92982
2093;93;58;1144
2093;1000093;58;1144
2093;93;58;1145
2093;1000093;58;1145
2093;93;58;3299
2093;1000093;58;3299
2093;93;58;3300
2093;1000093;58;3300
2093;93;58;3301
2093;1000093;58;3301
2093;93;58;3520
2093;1000093;58;3520
2093;93;58;6798
2093;1000093;58;6798
2093;93;58;3244
2093;1000093;58;3244
2093;93;58;95252
2093;1000093;58;95252
2093;93;58;2503
2093;1000093;58;2503
